accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,False,Financial Institution,Financial Sponsors - Portfolio Companies,John Mathews,2024-04-15,DE,869485,681553,529893,495522,Client meets all KYC requirements.,John Mathews,2025-04-28,None,US,Client decision,2483,Prospect_2483,User Referral,Portfolio,Gold,Group,Draft,91385.24,117726.28,151027.92,CASE100350,,Validation,Low,SINGAPORE,Open,2020-06-07,2025-09-13,2023-10-13,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Local Corporate,Fintech - Other,Amit Singh,2020-06-07,IN,184059,125877,162969,920499,Strong revenue potential.,Rohit Sharma,2021-04-23,None,AU,Auto disqualified,1773,Prospect_1773,User Referral,Lead,Portfolio,Subsidiary,Qualify,9256.77,60847.16,102679.0,CASE100351,,Business Acceptance,High,INDIA,Open,2024-06-27,2020-10-02,2021-12-29,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Borrowing,False,Financial Institution,Global Subsidiaries GC,Kunal Mehta,2025-04-11,GB,316170,735292,931408,893660,High strategic importance.,David Chen,2022-09-12,None,HK,Client decision,784,Prospect_784,User Referral,Lead,Gold,Group,Qualify,47118.24,129805.48,155458.39,CASE100352,,Business Acceptance,Low,HONG KONG,Closed,2022-07-22,2020-12-26,2023-03-02,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,True
Borrowing,False,Global Corporate,Fintech - Other,Kunal Mehta,2022-06-30,HK,431827,243175,599920,877122,Strong revenue potential.,Emily Davis,2021-03-14,Transaction participation counterparty / SPV,GB,Auto disqualified,2818,Prospect_2818,Self,Converted,Platinum,Subsidiary,Converted,29650.35,41262.01,32741.15,CASE100353,LE202819,Business Acceptance,High,SINGAPORE,Closed,2021-03-08,2022-09-18,2024-03-10,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Non-Borrowing,True,Financial Institution,FI - Financial Sponsors,Kunal Mehta,2022-03-28,SG,541030,467573,429564,799039,Strong revenue potential.,Rohit Sharma,2025-07-26,Liquidity provider,IN,Auto disqualified,617,Prospect_617,Self,Gold,Portfolio,Group,Converted,24345.86,147918.83,89536.28,CASE100354,,Business Acceptance,Medium,HONG KONG,Closed,2025-02-16,2024-12-23,2025-05-05,"High potential client, fast-track onboarding recommended.",New Business,New Business,False
Non-Borrowing,False,Global Corporate,FI - Financial Sponsors,Kunal Mehta,2025-02-28,DE,841669,169003,956470,778034,High strategic importance.,Rohit Sharma,2021-02-09,Transaction participation counterparty / SPV,SG,Auto disqualified,2727,Prospect_2727,Self,Qualified,Portfolio,Subsidiary,Onboarding In Progress,33612.91,13253.28,47986.33,CASE100355,,Business Acceptance,High,SINGAPORE,Closed,2023-09-25,2021-06-04,2024-11-25,"High potential client, fast-track onboarding recommended.",New Business,New Business,False
Borrowing,True,Financial Institution,FI - Financial Sponsors,Sarah Lee,2023-12-03,IN,430027,363638,347888,623918,Client meets all KYC requirements.,Amit Singh,2025-03-26,Co-Borrower / Guarantor,IN,Client decision,2885,Prospect_2885,Self,Qualified,Portfolio,Subsidiary,Qualify,93862.59,74558.95,118444.32,CASE100356,,Validation,Medium,HONG KONG,Closed,2023-11-14,2023-01-18,2020-08-05,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Middle Market,Local Corporates,Priya Nair,2023-06-04,SG,147448,923333,914996,137705,Strong revenue potential.,Amit Singh,2024-08-26,Transaction participation counterparty / SPV,AU,Client decision,2270,Prospect_2270,User Referral,Gold,Platinum,Group,Qualify,25191.83,88324.96,124488.28,CASE100357,,Complete,Medium,SINGAPORE,Open,2021-11-21,2023-02-16,2022-10-15,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,True,Global Corporate,Origination GC,Sarah Lee,2022-07-21,DE,154653,300311,238569,199128,High strategic importance.,Maria Garcia,2020-07-05,Co-Borrower / Guarantor,DE,Client decision,2056,Prospect_2056,User Referral,Disqualified,Gold,Subsidiary,Onboarding In Progress,8472.47,66376.13,197085.41,CASE100358,,Validation,High,INDIA,Open,2024-12-16,2025-07-12,2024-09-06,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,False,Middle Market,Local Corporates,Rohit Sharma,2022-07-02,SG,576727,186785,370442,695609,High strategic importance.,Emily Davis,2021-03-05,None,IN,Auto disqualified,1117,Prospect_1117,User Referral,Qualified,Portfolio,Standalone,Converted,41110.22,82254.35,3821.08,CASE100359,,Complete,Medium,HONG KONG,Open,2025-05-23,2021-10-05,2020-10-16,Pending additional KYC documentation from client.,Refresh KYC,New Business,True
Borrowing,False,Global Corporate,Fintech - Other,John Mathews,2020-04-06,DE,513228,673622,897109,286181,Existing group relationship.,John Mathews,2024-05-08,Co-Borrower / Guarantor,SG,Client decision,515,Prospect_515,Self,Disqualified,Gold,Standalone,Onboarding In Progress,26684.98,116783.27,71615.02,CASE100360,,Business Acceptance,High,INDIA,Closed,2024-06-24,2025-02-17,2020-05-04,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Non-Borrowing,False,Financial Institution,Local Corporates,Kunal Mehta,2022-03-02,DE,802899,396148,848557,514191,Client meets all KYC requirements.,Emily Davis,2021-09-29,Transaction participation counterparty / SPV,IN,Client decision,2996,Prospect_2996,User Referral,Silver,Portfolio,Subsidiary,Converted,29070.19,25542.46,189528.5,CASE100361,,Validation,High,SINGAPORE,Closed,2020-06-01,2023-08-22,2023-01-12,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,True
Borrowing,False,Middle Market,Fintech - Other,Rohit Sharma,2024-06-20,HK,639008,272652,653650,123150,Strong revenue potential.,Emily Davis,2023-12-24,Liquidity provider,IN,Auto disqualified,1459,Prospect_1459,Self,Silver,Gold,Standalone,Draft,45288.92,142163.94,193837.49,CASE100362,,Validation,Low,SINGAPORE,Open,2021-05-14,2021-01-13,2021-11-05,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,False,Financial Institution,Origination GC,Emily Davis,2023-09-06,GB,125430,672894,527409,156880,High strategic importance.,Amit Singh,2020-07-27,Co-Borrower / Guarantor,IN,Auto disqualified,460,Prospect_460,Self,Gold,Portfolio,Subsidiary,Converted,81532.01,58870.22,113973.48,CASE100363,,Complete,High,INDIA,Open,2022-12-01,2022-12-26,2025-05-11,Client onboarding completed successfully.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,Financial Sponsors - Portfolio Companies,Kunal Mehta,2023-02-15,SG,330126,945320,694429,358991,Client meets all KYC requirements.,David Chen,2025-09-09,Liquidity provider,GB,Auto disqualified,1469,Prospect_1469,User Referral,Gold,Platinum,Standalone,Qualify,83522.09,93356.58,113467.9,CASE100364,,Validation,Low,HONG KONG,Open,2024-01-07,2023-05-11,2020-08-08,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,True,Middle Market,Local Corporates,Emily Davis,2020-10-11,GB,244755,857791,719950,937023,Existing group relationship.,Kunal Mehta,2022-11-24,Transaction participation counterparty / SPV,US,Auto disqualified,819,Prospect_819,Self,Silver,Platinum,Subsidiary,Converted,48339.66,66208.07,84802.05,CASE100365,,Validation,Medium,SINGAPORE,Open,2025-10-03,2025-12-11,2023-05-17,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Borrowing,False,Local Corporate,Hedge Funds,Rohit Sharma,2023-02-17,IN,681351,165770,846589,767778,Strong revenue potential.,Lisa Wong,2021-02-07,Transaction participation counterparty / SPV,GB,Auto disqualified,2856,Prospect_2856,Self,Disqualified,Gold,Standalone,Draft,83803.67,89914.69,42620.74,CASE100366,,Complete,Low,HONG KONG,Closed,2023-05-21,2023-06-06,2023-07-23,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Financial Sponsors - Portfolio Companies,Kunal Mehta,2023-12-09,HK,489073,624360,347889,326002,High strategic importance.,Lisa Wong,2023-03-12,Co-Borrower / Guarantor,AU,Client decision,1779,Prospect_1779,Self,Portfolio,Gold,Subsidiary,Draft,16584.07,108740.22,14939.15,CASE100367,,Validation,Low,SINGAPORE,Closed,2020-01-20,2020-03-22,2022-04-23,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,False,Global Corporate,Finance Companies,Amit Singh,2025-09-17,US,978911,456823,573779,277379,Existing group relationship.,John Mathews,2025-03-26,Co-Borrower / Guarantor,AU,Auto disqualified,2822,Prospect_2822,Self,Portfolio,Gold,Subsidiary,Draft,26664.26,76074.67,76728.23,CASE100368,,Business Acceptance,Low,SINGAPORE,Open,2025-10-01,2020-01-21,2025-11-06,Pending additional KYC documentation from client.,Refresh KYC,New Business,True
Borrowing,True,Middle Market,Local Corporates,Priya Nair,2024-06-25,HK,534414,908583,458648,415283,Existing group relationship.,Kunal Mehta,2025-11-15,None,GB,Auto disqualified,2663,Prospect_2663,Self,Qualified,Platinum,Group,Draft,15992.87,16730.36,69047.68,CASE100369,,Business Acceptance,Low,HONG KONG,Open,2021-02-27,2023-06-21,2024-10-03,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Borrowing,True,Financial Institution,Fintech - Other,Priya Nair,2023-09-18,US,368679,682259,251512,223644,Existing group relationship.,Kunal Mehta,2023-09-08,Liquidity provider,AU,Client decision,1073,Prospect_1073,User Referral,Converted,Platinum,Standalone,Qualify,92110.56,49980.07,110717.27,CASE100370,LE201074,Validation,High,INDIA,Open,2021-03-30,2024-04-23,2024-12-24,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,True
Non-Borrowing,False,Middle Market,Local Corporates,David Chen,2020-04-23,AU,982657,600379,690064,170749,Client meets all KYC requirements.,Amit Singh,2024-02-02,Co-Borrower / Guarantor,US,Auto disqualified,1967,Prospect_1967,User Referral,Portfolio,Portfolio,Group,Onboarding In Progress,75670.56,120727.34,69457.91,CASE100371,,Validation,High,HONG KONG,Closed,2023-01-08,2023-10-23,2024-06-19,Client onboarding completed successfully.,Refresh KYC,New Business,False
Non-Borrowing,True,Financial Institution,Fintech - Other,Emily Davis,2021-04-17,DE,163402,878833,976708,659780,Strong revenue potential.,Sarah Lee,2020-02-08,Transaction participation counterparty / SPV,US,Auto disqualified,1403,Prospect_1403,User Referral,Gold,Platinum,Subsidiary,Onboarding In Progress,76808.81,85458.48,86078.24,CASE100372,,Validation,Low,SINGAPORE,Closed,2022-11-02,2022-11-10,2020-10-13,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Origination GC,Lisa Wong,2022-12-05,IN,885692,815370,904312,140556,Strong revenue potential.,John Mathews,2021-05-08,Co-Borrower / Guarantor,AU,Client decision,2152,Prospect_2152,Self,Lead,Gold,Subsidiary,Onboarding In Progress,68659.78,113774.55,121043.54,CASE100373,,Complete,Low,SINGAPORE,Closed,2020-11-21,2024-07-17,2021-08-10,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Financial Institution,FI - Financial Sponsors,Amit Singh,2022-01-01,GB,106156,634819,539581,562739,Strong revenue potential.,Priya Nair,2020-11-11,Transaction participation counterparty / SPV,IN,Auto disqualified,2171,Prospect_2171,User Referral,Qualified,Platinum,Subsidiary,Qualify,1323.94,133223.36,141185.14,CASE100374,,Validation,Low,HONG KONG,Closed,2024-02-23,2022-08-19,2025-01-11,Client classified as low risk after initial screening.,New Business,New Business,False
Borrowing,False,Middle Market,Local Corporates,Maria Garcia,2022-12-23,IN,689184,212548,848573,510171,High strategic importance.,David Chen,2022-04-23,None,DE,Client decision,1055,Prospect_1055,Self,Disqualified,Portfolio,Standalone,Onboarding In Progress,21147.96,65798.94,2615.8,CASE100375,,Validation,High,HONG KONG,Closed,2024-12-04,2021-09-25,2024-08-11,Client onboarding completed successfully.,New Business,New Business,True
Non-Borrowing,True,Middle Market,Middle Markets,Kunal Mehta,2020-06-05,HK,268476,963519,344579,489217,Existing group relationship.,David Chen,2024-11-27,Liquidity provider,GB,Client decision,823,Prospect_823,Self,Converted,Portfolio,Subsidiary,Converted,87276.49,52942.43,42227.31,CASE100376,LE200824,Business Acceptance,Medium,SINGAPORE,Open,2021-12-31,2023-03-30,2025-07-03,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Financial Institution,Finance Companies,Lisa Wong,2021-03-20,US,442705,528244,290922,165259,Strong revenue potential.,Lisa Wong,2023-10-27,Liquidity provider,SG,Auto disqualified,899,Prospect_899,Self,Disqualified,Gold,Standalone,Qualify,48157.54,16718.21,37747.74,CASE100377,,Complete,Low,HONG KONG,Closed,2021-04-06,2025-08-22,2024-03-23,Client onboarding completed successfully.,New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Middle Markets,Emily Davis,2024-11-14,AU,273348,923462,739279,530633,High strategic importance.,David Chen,2022-07-04,None,SG,Client decision,2480,Prospect_2480,Self,Portfolio,Gold,Standalone,Qualify,74273.91,40608.52,83477.86,CASE100378,,Validation,High,HONG KONG,Closed,2023-06-30,2025-07-17,2021-09-15,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Non-Borrowing,False,Local Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,2023-11-16,US,905120,131792,129466,101686,High strategic importance.,John Mathews,2023-10-15,Co-Borrower / Guarantor,IN,Auto disqualified,739,Prospect_739,User Referral,Disqualified,Platinum,Subsidiary,Onboarding In Progress,21725.56,63239.96,16029.12,CASE100379,,Business Acceptance,Low,HONG KONG,Open,2022-05-27,2020-03-15,2021-04-10,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Borrowing,True,Local Corporate,Financial Sponsors - Portfolio Companies,Rohit Sharma,2023-07-08,HK,789732,500604,608815,682056,Strong revenue potential.,Maria Garcia,2025-12-11,Liquidity provider,GB,Auto disqualified,1421,Prospect_1421,User Referral,Lead,Gold,Group,Onboarding In Progress,6551.79,19828.99,180409.01,CASE100380,,Business Acceptance,Low,INDIA,Open,2024-04-02,2025-05-06,2022-03-14,Pending additional KYC documentation from client.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,FI - Financial Sponsors,David Chen,2024-11-22,HK,413204,598454,727685,512232,High strategic importance.,Priya Nair,2021-11-09,None,IN,Client decision,2555,Prospect_2555,Self,Converted,Platinum,Standalone,Converted,82760.25,16971.58,84743.79,CASE100381,LE202556,Validation,Low,INDIA,Closed,2020-10-07,2022-09-26,2023-10-05,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,False
Non-Borrowing,True,Local Corporate,FI - Financial Sponsors,Sarah Lee,2025-09-25,DE,165199,140224,204351,757946,Existing group relationship.,Kunal Mehta,2021-05-03,None,GB,Client decision,1152,Prospect_1152,User Referral,Silver,Gold,Standalone,Converted,23345.95,66785.91,166413.05,CASE100382,,Complete,Medium,HONG KONG,Open,2020-10-24,2025-05-13,2023-05-13,Client classified as low risk after initial screening.,New Business,New Business,True
Non-Borrowing,False,Middle Market,Financial Sponsors - Portfolio Companies,Amit Singh,2021-04-18,DE,479062,933391,504380,781704,High strategic importance.,Sarah Lee,2020-04-02,None,IN,Client decision,2746,Prospect_2746,Self,Qualified,Gold,Subsidiary,Converted,22026.16,55857.94,184423.31,CASE100383,,Complete,Low,SINGAPORE,Closed,2024-08-23,2024-06-15,2023-08-07,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Borrowing,True,Local Corporate,Local Corporates,Sarah Lee,2024-04-26,IN,828817,125544,915027,446285,Strong revenue potential.,Amit Singh,2025-04-19,None,DE,Client decision,1263,Prospect_1263,User Referral,Gold,Gold,Group,Draft,39994.08,126982.61,40755.58,CASE100384,,Complete,High,SINGAPORE,Closed,2024-04-10,2025-05-09,2024-07-12,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Borrowing,False,Middle Market,Global Subsidiaries GC,Lisa Wong,2022-02-17,SG,750945,470667,807273,489904,Strong revenue potential.,Rohit Sharma,2021-11-12,None,US,Auto disqualified,1578,Prospect_1578,Self,Silver,Portfolio,Standalone,Onboarding In Progress,54621.23,4217.64,99144.76,CASE100385,,Business Acceptance,High,HONG KONG,Closed,2021-04-29,2024-09-08,2020-10-06,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Non-Borrowing,True,Global Corporate,Local Corporates,Maria Garcia,2022-11-09,US,649230,778058,657661,150800,Client meets all KYC requirements.,Kunal Mehta,2025-12-04,Transaction participation counterparty / SPV,SG,Client decision,2217,Prospect_2217,Self,Disqualified,Gold,Standalone,Converted,62725.62,114476.18,194027.88,CASE100386,,Validation,High,HONG KONG,Open,2021-02-21,2022-11-09,2023-02-23,Client onboarding completed successfully.,New Business,Refresh KYC,False
Borrowing,False,Middle Market,Finance Companies,Emily Davis,2020-06-30,HK,778907,204421,655466,640545,Strong revenue potential.,Lisa Wong,2024-12-22,Co-Borrower / Guarantor,AU,Auto disqualified,250,Prospect_250,Self,Lead,Gold,Standalone,Qualify,92500.7,31268.68,164205.14,CASE100387,,Complete,Medium,INDIA,Open,2023-06-11,2025-04-09,2022-07-17,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,True,Middle Market,Financial Sponsors - Portfolio Companies,John Mathews,2024-11-21,DE,489950,972783,327627,868761,Existing group relationship.,Kunal Mehta,2025-11-10,Liquidity provider,IN,Auto disqualified,652,Prospect_652,Self,Converted,Gold,Group,Draft,75658.55,131929.11,8552.08,CASE100388,LE200653,Complete,Low,HONG KONG,Closed,2024-05-02,2022-04-22,2021-05-08,Pending additional KYC documentation from client.,New Business,New Business,False
Borrowing,False,Middle Market,Middle Markets,David Chen,2020-01-07,DE,287925,550754,264246,100762,High strategic importance.,John Mathews,2020-01-15,None,GB,Auto disqualified,2812,Prospect_2812,Self,Lead,Gold,Standalone,Onboarding In Progress,52667.74,42520.53,193688.69,CASE100389,,Validation,High,INDIA,Open,2020-05-07,2025-01-28,2023-11-11,Client classified as low risk after initial screening.,New Business,New Business,False
Borrowing,True,Local Corporate,FI - Financial Sponsors,Sarah Lee,2025-10-30,IN,414890,802407,428751,326830,Existing group relationship.,Amit Singh,2025-04-15,Transaction participation counterparty / SPV,AU,Auto disqualified,2777,Prospect_2777,Self,Gold,Gold,Group,Qualify,14411.23,82592.74,4635.57,CASE100390,,Business Acceptance,High,INDIA,Open,2022-03-23,2025-12-15,2022-03-19,Client onboarding completed successfully.,Refresh KYC,New Business,True
Borrowing,True,Financial Institution,Middle Markets,Emily Davis,2022-03-18,SG,852924,996463,845110,743018,Existing group relationship.,Kunal Mehta,2021-07-17,Co-Borrower / Guarantor,AU,Client decision,2707,Prospect_2707,User Referral,Lead,Platinum,Standalone,Converted,13642.56,38063.5,6797.79,CASE100391,,Validation,Medium,HONG KONG,Open,2024-03-16,2020-07-04,2025-09-28,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,False
Borrowing,True,Middle Market,Financial Sponsors - Portfolio Companies,Priya Nair,2024-01-31,DE,889353,463388,808721,568853,Client meets all KYC requirements.,Rohit Sharma,2025-03-31,Co-Borrower / Guarantor,AU,Client decision,457,Prospect_457,User Referral,Converted,Portfolio,Subsidiary,Draft,13067.75,61792.04,128851.51,CASE100392,LE200458,Complete,Low,SINGAPORE,Closed,2020-11-07,2023-08-10,2022-02-22,Pending additional KYC documentation from client.,New Business,New Business,False
Non-Borrowing,False,Local Corporate,Origination GC,Lisa Wong,2024-11-01,GB,164770,962977,745574,539224,High strategic importance.,Emily Davis,2020-08-18,Transaction participation counterparty / SPV,SG,Auto disqualified,1123,Prospect_1123,User Referral,Converted,Platinum,Subsidiary,Draft,98667.65,35730.29,126741.33,CASE100393,LE201124,Business Acceptance,Medium,INDIA,Closed,2020-12-31,2022-10-13,2023-05-30,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,True,Local Corporate,Financial Sponsors - Portfolio Companies,Maria Garcia,2020-10-13,HK,718668,234700,736796,543560,Existing group relationship.,Maria Garcia,2022-07-17,None,IN,Client decision,429,Prospect_429,Self,Gold,Platinum,Subsidiary,Onboarding In Progress,81202.95,55963.83,165388.98,CASE100394,,Business Acceptance,Low,HONG KONG,Open,2025-10-16,2023-01-28,2024-01-25,Pending additional KYC documentation from client.,New Business,Refresh KYC,False
Borrowing,True,Local Corporate,Hedge Funds,John Mathews,2023-09-14,SG,101740,797551,776365,727272,Strong revenue potential.,Lisa Wong,2025-03-31,Liquidity provider,HK,Client decision,292,Prospect_292,User Referral,Converted,Gold,Subsidiary,Onboarding In Progress,8623.53,129728.68,60732.92,CASE100395,LE200293,Business Acceptance,Medium,HONG KONG,Open,2021-11-12,2021-08-29,2022-09-30,Client onboarding completed successfully.,New Business,Refresh KYC,False
Non-Borrowing,True,Financial Institution,Finance Companies,Emily Davis,2023-07-09,GB,311703,333074,974440,608685,Strong revenue potential.,Maria Garcia,2021-04-03,None,SG,Client decision,1056,Prospect_1056,User Referral,Lead,Platinum,Standalone,Onboarding In Progress,30405.1,104201.58,96733.59,CASE100396,,Complete,Low,SINGAPORE,Closed,2024-06-25,2023-12-07,2020-09-28,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,False
Non-Borrowing,True,Financial Institution,Hedge Funds,Emily Davis,2021-05-25,DE,823714,396871,539093,178599,Existing group relationship.,Priya Nair,2024-08-28,Transaction participation counterparty / SPV,AU,Client decision,1219,Prospect_1219,User Referral,Disqualified,Gold,Standalone,Draft,32132.63,50211.03,170924.8,CASE100397,,Business Acceptance,Low,INDIA,Open,2020-03-31,2021-04-01,2021-12-31,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,False
Non-Borrowing,False,Financial Institution,Middle Markets,John Mathews,2023-05-15,AU,838633,396438,907259,675466,Strong revenue potential.,Sarah Lee,2021-03-09,None,HK,Client decision,316,Prospect_316,Self,Gold,Platinum,Group,Converted,31542.18,128167.13,151110.27,CASE100398,,Business Acceptance,Medium,INDIA,Closed,2023-09-25,2021-02-12,2020-07-25,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Financial Institution,Origination GC,Kunal Mehta,2025-09-08,DE,551011,601889,424549,897515,Existing group relationship.,Amit Singh,2024-10-13,Liquidity provider,GB,Client decision,2025,Prospect_2025,User Referral,Lead,Platinum,Standalone,Converted,504.29,7708.57,84993.04,CASE100399,,Business Acceptance,High,HONG KONG,Open,2023-10-31,2025-02-04,2020-05-10,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Borrowing,False,Global Corporate,Finance Companies,Lisa Wong,2023-06-20,GB,886189,124223,933706,144934,Existing group relationship.,Maria Garcia,2020-04-22,Transaction participation counterparty / SPV,US,Auto disqualified,1106,Prospect_1106,User Referral,Disqualified,Platinum,Group,Draft,43215.38,105775.59,170391.88,CASE100400,,Validation,Low,INDIA,Open,2023-10-23,2021-05-17,2025-10-30,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Financial Institution,Fintech - Other,David Chen,2024-07-30,DE,761500,783008,150604,364770,Existing group relationship.,Kunal Mehta,2025-09-28,None,US,Auto disqualified,2730,Prospect_2730,User Referral,Qualified,Gold,Subsidiary,Onboarding In Progress,85704.66,93968.13,96482.35,CASE100401,,Complete,High,INDIA,Closed,2023-01-09,2024-09-30,2023-09-20,Pending additional KYC documentation from client.,New Business,New Business,True
Non-Borrowing,False,Financial Institution,Global Subsidiaries GC,Lisa Wong,2023-08-29,IN,882806,982672,708661,153145,Existing group relationship.,Lisa Wong,2021-03-30,Co-Borrower / Guarantor,DE,Auto disqualified,376,Prospect_376,Self,Disqualified,Portfolio,Subsidiary,Onboarding In Progress,10852.05,56178.8,106093.27,CASE100402,,Validation,Medium,HONG KONG,Open,2024-04-01,2021-06-03,2020-06-23,Client onboarding completed successfully.,Refresh KYC,New Business,False
Borrowing,False,Financial Institution,Hedge Funds,Kunal Mehta,2024-07-06,US,883440,303537,860337,483746,Existing group relationship.,Lisa Wong,2025-04-09,Transaction participation counterparty / SPV,GB,Auto disqualified,1331,Prospect_1331,Self,Qualified,Portfolio,Subsidiary,Qualify,6367.05,61885.25,117193.02,CASE100403,,Business Acceptance,High,INDIA,Closed,2023-12-07,2025-01-02,2023-07-01,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Borrowing,True,Middle Market,Finance Companies,Rohit Sharma,2023-04-26,HK,546784,819334,430667,261923,Client meets all KYC requirements.,Sarah Lee,2021-09-25,Co-Borrower / Guarantor,HK,Client decision,1241,Prospect_1241,Self,Silver,Portfolio,Standalone,Onboarding In Progress,64817.96,56861.92,74528.7,CASE100404,,Validation,High,SINGAPORE,Open,2022-11-23,2023-06-09,2020-07-14,Pending additional KYC documentation from client.,New Business,New Business,False
Non-Borrowing,False,Middle Market,Finance Companies,Lisa Wong,2021-06-05,SG,948312,627807,886632,182872,Client meets all KYC requirements.,Amit Singh,2021-06-15,Liquidity provider,AU,Auto disqualified,2962,Prospect_2962,Self,Qualified,Portfolio,Subsidiary,Qualify,77287.92,96153.32,57410.83,CASE100405,,Business Acceptance,High,INDIA,Closed,2021-12-19,2024-12-13,2020-04-30,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,True
Non-Borrowing,False,Financial Institution,Hedge Funds,John Mathews,2022-02-24,AU,208942,707903,140593,275227,Existing group relationship.,Amit Singh,2022-04-10,Liquidity provider,US,Auto disqualified,455,Prospect_455,Self,Lead,Gold,Group,Qualify,24338.56,35699.23,135775.77,CASE100406,,Business Acceptance,Medium,SINGAPORE,Closed,2024-06-19,2024-11-17,2021-12-19,Enhanced due diligence recommended based on risk factors.,New Business,New Business,True
Non-Borrowing,False,Global Corporate,Origination GC,Maria Garcia,2024-09-18,AU,323419,646568,122584,910719,Client meets all KYC requirements.,Rohit Sharma,2024-04-22,None,DE,Auto disqualified,216,Prospect_216,Self,Silver,Platinum,Subsidiary,Draft,90716.93,149205.52,31429.68,CASE100407,,Complete,Low,SINGAPORE,Closed,2025-08-13,2025-02-17,2023-02-19,Client onboarding completed successfully.,New Business,New Business,True
Non-Borrowing,False,Middle Market,Origination GC,Lisa Wong,2024-04-01,GB,947285,452054,442100,731981,High strategic importance.,Amit Singh,2022-10-26,Co-Borrower / Guarantor,AU,Client decision,2083,Prospect_2083,Self,Lead,Gold,Group,Qualify,68203.67,435.63,100147.76,CASE100408,,Business Acceptance,Low,INDIA,Closed,2022-10-07,2024-11-06,2021-03-01,Client classified as low risk after initial screening.,New Business,New Business,True
Non-Borrowing,True,Local Corporate,FI - Financial Sponsors,Sarah Lee,2021-12-13,AU,125460,277911,420270,402861,Strong revenue potential.,Kunal Mehta,2025-05-24,Co-Borrower / Guarantor,US,Auto disqualified,534,Prospect_534,User Referral,Lead,Portfolio,Subsidiary,Converted,47685.25,69881.57,63711.08,CASE100409,,Complete,Low,INDIA,Open,2024-04-04,2024-10-07,2025-01-21,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
