accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,TRUE,Financial Institution,Financial Sponsors - Portfolio Companies,David Chen,26-07-2022,AU,854766,300041,893022,834626,High strategic importance.,David Chen,23-02-2023,Liquidity provider,SG,Auto disqualified,18,Prospect_18,Self,Portfolio,Portfolio,Subsidiary,Onboarding In Progress,2612.39,118238.53,173873.4,CASE102725,,Validation,Medium,SINGAPORE,Open,10-12-2023,24-06-2021,19-03-2020,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,TRUE
Non-Borrowing,TRUE,Middle Market,Finance Companies,Lisa Wong,06-07-2024,AU,281882,629985,584481,408429,Strong revenue potential.,Kunal Mehta,31-03-2021,Liquidity provider,US,Client decision,18,Prospect_18,User Referral,Silver,Portfolio,Standalone,Onboarding In Progress,80007.48,71893.32,197154.42,CASE107065,,Validation,High,SINGAPORE,Closed,08-03-2022,23-10-2025,06-02-2024,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,TRUE
Borrowing,TRUE,Middle Market,Middle Markets,Kunal Mehta,03-02-2020,DE,702405,974025,624981,465749,Client meets all KYC requirements.,Kunal Mehta,18-08-2022,Transaction participation counterparty / SPV,IN,Client decision,19,Prospect_19,User Referral,Lead,Gold,Standalone,Converted,19832.06,33858.57,42678.79,CASE104651,,Business Acceptance,High,INDIA,Closed,08-02-2021,30-10-2022,07-10-2023,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,TRUE
Non-Borrowing,FALSE,Global Corporate,Middle Markets,Priya Nair,25-08-2024,GB,624519,903553,347771,719199,High strategic importance.,Sarah Lee,10-08-2024,Transaction participation counterparty / SPV,GB,Client decision,19,Prospect_19,Self,Portfolio,Portfolio,Standalone,Qualify,63216.26,81019.53,158078.57,CASE105300,,Business Acceptance,High,HONG KONG,Closed,11-09-2022,17-11-2020,02-11-2021,Client classified as low risk after initial screening.,Refresh KYC,New Business,TRUE
Non-Borrowing,FALSE,Middle Market,Financial Sponsors - Portfolio Companies,Kunal Mehta,05-04-2021,IN,723736,785825,393486,194308,Client meets all KYC requirements.,Lisa Wong,29-09-2021,Transaction participation counterparty / SPV,DE,Auto disqualified,20,Prospect_20,Self,Gold,Gold,Subsidiary,Qualify,54744.25,125583.64,181195.89,CASE109375,,Business Acceptance,Low,SINGAPORE,Open,20-05-2025,04-06-2022,29-12-2021,Client onboarding completed successfully.,Refresh KYC,New Business,TRUE
Borrowing,FALSE,Financial Institution,Fintech - Other,Emily Davis,24-10-2024,DE,804059,811631,940976,875909,Client meets all KYC requirements.,Lisa Wong,23-10-2020,Co-Borrower / Guarantor,HK,Client decision,21,Prospect_21,Self,Silver,Gold,Subsidiary,Onboarding In Progress,32130.05,17735.85,905.84,CASE103516,,Validation,High,SINGAPORE,Open,10-04-2024,28-04-2025,14-02-2021,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,TRUE
Non-Borrowing,FALSE,Global Corporate,Global Subsidiaries GC,Priya Nair,27-12-2021,GB,600776,780096,500307,667841,Client meets all KYC requirements.,Emily Davis,12-07-2020,Co-Borrower / Guarantor,DE,Auto disqualified,21,Prospect_21,User Referral,Qualified,Gold,Subsidiary,Qualify,31664.8,121075.17,143280.9,CASE105251,,Complete,Low,INDIA,Closed,24-11-2021,21-07-2024,12-04-2025,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,FALSE
Borrowing,TRUE,Global Corporate,FI - Financial Sponsors,Rohit Sharma,06-08-2025,SG,763089,885384,273914,918328,Client meets all KYC requirements.,Amit Singh,29-03-2021,Co-Borrower / Guarantor,GB,Auto disqualified,21,Prospect_21,Self,Converted,Gold,Subsidiary,Qualify,59381.83,82638.61,89584.92,CASE106536,LE200022,Business Acceptance,High,HONG KONG,Closed,07-07-2024,25-09-2022,14-07-2021,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,FALSE,Local Corporate,Financial Sponsors - Portfolio Companies,David Chen,05-01-2022,US,130411,189896,920158,897555,High strategic importance.,Maria Garcia,10-02-2025,Liquidity provider,SG,Client decision,21,Prospect_21,User Referral,Portfolio,Portfolio,Standalone,Draft,78508.58,112487.66,114033.98,CASE108746,,Validation,Low,INDIA,Closed,09-06-2024,28-06-2020,08-06-2024,Pending additional KYC documentation from client.,New Business,New Business,TRUE
Borrowing,FALSE,Global Corporate,Global Subsidiaries GC,Priya Nair,04-02-2023,GB,245761,624041,641751,220463,Client meets all KYC requirements.,David Chen,07-08-2020,Co-Borrower / Guarantor,AU,Client decision,21,Prospect_21,User Referral,Lead,Portfolio,Subsidiary,Converted,58354.56,125113.4,50286.63,CASE109178,,Validation,Low,SINGAPORE,Open,14-12-2023,15-05-2024,15-12-2020,Pending additional KYC documentation from client.,Refresh KYC,New Business,FALSE
Borrowing,TRUE,Financial Institution,Middle Markets,Priya Nair,27-09-2023,US,166107,167799,116310,475072,Client meets all KYC requirements.,Rohit Sharma,08-10-2020,Liquidity provider,DE,Client decision,22,Prospect_22,User Referral,Gold,Gold,Standalone,Qualify,96571.19,146297.92,98468.61,CASE105400,,Complete,High,HONG KONG,Closed,18-10-2021,11-04-2025,10-07-2020,Client onboarding completed successfully.,New Business,New Business,FALSE
Borrowing,FALSE,Global Corporate,Fintech - Other,Sarah Lee,10-05-2023,HK,239491,649296,495123,563118,High strategic importance.,Emily Davis,14-03-2021,Co-Borrower / Guarantor,GB,Auto disqualified,22,Prospect_22,Self,Silver,Portfolio,Subsidiary,Qualify,62455.77,124052.87,20882.42,CASE108995,,Business Acceptance,Medium,HONG KONG,Closed,24-06-2023,12-01-2023,30-04-2025,Enhanced due diligence recommended based on risk factors.,New Business,New Business,FALSE
Borrowing,TRUE,Local Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,10-05-2024,DE,935061,474584,815360,425623,Existing group relationship.,Rohit Sharma,03-02-2021,Co-Borrower / Guarantor,US,Client decision,23,Prospect_23,User Referral,Disqualified,Platinum,Subsidiary,Qualify,50407.77,115415.17,192295.84,CASE107064,,Business Acceptance,Low,SINGAPORE,Closed,13-01-2021,21-04-2025,03-12-2022,"High potential client, fast-track onboarding recommended.",New Business,New Business,TRUE
Non-Borrowing,FALSE,Global Corporate,Financial Sponsors - Portfolio Companies,David Chen,14-07-2021,IN,527459,161592,279608,367655,Client meets all KYC requirements.,Lisa Wong,08-06-2020,Co-Borrower / Guarantor,US,Client decision,24,Prospect_24,User Referral,Gold,Portfolio,Subsidiary,Qualify,88926.3,52697.29,135812.73,CASE106309,,Business Acceptance,Medium,HONG KONG,Closed,18-08-2025,14-05-2025,21-04-2021,Pending additional KYC documentation from client.,New Business,Refresh KYC,TRUE
Borrowing,TRUE,Global Corporate,Hedge Funds,Kunal Mehta,20-11-2021,DE,167037,269319,292374,601438,Existing group relationship.,Lisa Wong,22-01-2023,None,US,Auto disqualified,24,Prospect_24,Self,Qualified,Portfolio,Subsidiary,Converted,44181.97,51764.94,11585.67,CASE107014,,Business Acceptance,Low,INDIA,Open,02-07-2022,06-10-2023,21-11-2025,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,FALSE
Borrowing,TRUE,Financial Institution,Local Corporates,John Mathews,03-10-2022,GB,899971,486758,564813,234422,Client meets all KYC requirements.,Lisa Wong,03-09-2023,Co-Borrower / Guarantor,SG,Auto disqualified,25,Prospect_25,User Referral,Disqualified,Portfolio,Subsidiary,Qualify,65339.79,64928.9,84504.07,CASE103037,,Complete,High,HONG KONG,Closed,07-05-2021,17-03-2020,29-03-2025,Enhanced due diligence recommended based on risk factors.,New Business,New Business,TRUE
Non-Borrowing,TRUE,Middle Market,Local Corporates,Rohit Sharma,06-07-2023,US,692788,530607,255972,185642,High strategic importance.,Lisa Wong,17-10-2021,Liquidity provider,US,Auto disqualified,25,Prospect_25,Self,Gold,Gold,Group,Qualify,37530.21,114452.45,155718.79,CASE104048,,Business Acceptance,High,SINGAPORE,Closed,05-06-2021,01-08-2025,09-10-2022,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,FALSE
Borrowing,TRUE,Financial Institution,Local Corporates,Maria Garcia,09-10-2024,SG,757814,890455,907410,219616,Strong revenue potential.,Amit Singh,27-05-2025,Transaction participation counterparty / SPV,SG,Auto disqualified,25,Prospect_25,User Referral,Disqualified,Platinum,Standalone,Qualify,71810.95,86225.09,8299.11,CASE105591,,Complete,High,HONG KONG,Closed,09-06-2023,03-07-2024,04-04-2024,Pending additional KYC documentation from client.,New Business,Refresh KYC,FALSE
Borrowing,FALSE,Global Corporate,Global Subsidiaries GC,Lisa Wong,30-08-2025,HK,815867,247772,503500,467714,Client meets all KYC requirements.,Lisa Wong,17-04-2020,Transaction participation counterparty / SPV,DE,Auto disqualified,26,Prospect_26,Self,Silver,Portfolio,Group,Onboarding In Progress,80588.23,46907.65,188345.51,CASE103372,,Complete,Medium,HONG KONG,Closed,03-10-2025,05-04-2022,28-04-2025,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,TRUE,Middle Market,Global Subsidiaries GC,Sarah Lee,14-05-2024,HK,269052,546068,497004,982591,High strategic importance.,Maria Garcia,08-09-2024,None,IN,Auto disqualified,26,Prospect_26,Self,Qualified,Portfolio,Group,Draft,77235.6,147064.79,165566.17,CASE103971,,Validation,High,SINGAPORE,Open,20-08-2020,26-06-2020,20-07-2020,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,FALSE,Middle Market,Middle Markets,Rohit Sharma,20-07-2022,US,689011,467608,376260,788869,Client meets all KYC requirements.,Priya Nair,22-07-2022,Transaction participation counterparty / SPV,SG,Auto disqualified,27,Prospect_27,Self,Gold,Gold,Group,Qualify,73708.49,70351.83,157689.16,CASE103258,,Business Acceptance,Medium,INDIA,Closed,18-03-2023,25-07-2024,12-02-2022,Client classified as low risk after initial screening.,New Business,Refresh KYC,FALSE
Non-Borrowing,TRUE,Middle Market,Finance Companies,Rohit Sharma,01-03-2025,GB,802197,195209,299269,180224,Existing group relationship.,Emily Davis,15-09-2022,Liquidity provider,HK,Client decision,27,Prospect_27,User Referral,Silver,Gold,Subsidiary,Converted,33439.04,14224.7,179126.79,CASE105331,,Business Acceptance,Low,INDIA,Open,12-02-2025,16-08-2020,16-01-2021,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,TRUE
Non-Borrowing,FALSE,Local Corporate,Local Corporates,Lisa Wong,25-07-2020,IN,446172,532499,556882,794659,Strong revenue potential.,Emily Davis,05-06-2022,Transaction participation counterparty / SPV,US,Auto disqualified,27,Prospect_27,User Referral,Disqualified,Portfolio,Group,Draft,69274.88,26756.07,199539.78,CASE105442,,Validation,Medium,SINGAPORE,Open,17-12-2024,18-10-2023,23-08-2021,"High potential client, fast-track onboarding recommended.",New Business,New Business,FALSE
Non-Borrowing,FALSE,Global Corporate,FI - Financial Sponsors,Priya Nair,11-09-2024,HK,953363,492314,509256,745974,Existing group relationship.,David Chen,16-08-2023,Liquidity provider,IN,Auto disqualified,27,Prospect_27,Self,Gold,Portfolio,Subsidiary,Draft,97971.71,65194.38,108953.31,CASE105945,,Complete,Medium,INDIA,Closed,03-12-2021,02-12-2024,22-12-2022,Pending additional KYC documentation from client.,New Business,Refresh KYC,TRUE
Non-Borrowing,FALSE,Local Corporate,Hedge Funds,Kunal Mehta,24-09-2024,AU,598356,666496,265604,382065,High strategic importance.,Emily Davis,13-02-2021,Liquidity provider,DE,Auto disqualified,27,Prospect_27,User Referral,Silver,Platinum,Subsidiary,Converted,16527.75,120792.74,199425.09,CASE107219,,Validation,Low,SINGAPORE,Open,18-11-2023,06-09-2024,16-12-2024,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,TRUE
Borrowing,TRUE,Financial Institution,Financial Sponsors - Portfolio Companies,Sarah Lee,04-10-2022,DE,845254,364201,464492,637451,Client meets all KYC requirements.,Amit Singh,20-03-2022,Liquidity provider,US,Auto disqualified,27,Prospect_27,Self,Gold,Gold,Subsidiary,Onboarding In Progress,21922.34,106729.38,157594.04,CASE107656,,Business Acceptance,Low,HONG KONG,Closed,13-12-2023,19-08-2025,23-03-2022,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,FALSE
Non-Borrowing,FALSE,Local Corporate,FI - Financial Sponsors,David Chen,16-09-2024,HK,105825,284202,186280,819245,Existing group relationship.,John Mathews,01-11-2021,None,GB,Client decision,27,Prospect_27,User Referral,Silver,Platinum,Standalone,Qualify,41848.41,100072.46,19387.73,CASE107744,,Validation,Medium,HONG KONG,Open,11-02-2023,12-09-2023,18-09-2021,Enhanced due diligence recommended based on risk factors.,New Business,New Business,FALSE
Non-Borrowing,TRUE,Local Corporate,Local Corporates,Maria Garcia,11-05-2021,SG,505321,313561,659251,681647,Strong revenue potential.,Priya Nair,12-01-2024,Liquidity provider,DE,Client decision,27,Prospect_27,User Referral,Qualified,Platinum,Group,Draft,34225.46,52860.77,74780.68,CASE108184,,Complete,Low,HONG KONG,Closed,28-09-2022,05-08-2020,31-12-2021,"Compliance review in progress, awaiting approvals.",New Business,New Business,FALSE
Borrowing,TRUE,Local Corporate,Finance Companies,John Mathews,24-07-2025,US,263897,618904,311519,912892,High strategic importance.,Amit Singh,01-11-2022,Liquidity provider,DE,Auto disqualified,28,Prospect_28,Self,Gold,Gold,Group,Onboarding In Progress,44105.82,27058.43,7844.21,CASE109300,,Business Acceptance,High,HONG KONG,Open,28-03-2022,06-03-2023,23-11-2023,Enhanced due diligence recommended based on risk factors.,New Business,New Business,TRUE
Non-Borrowing,FALSE,Middle Market,Global Subsidiaries GC,Kunal Mehta,10-09-2024,IN,645301,963666,760113,534329,Client meets all KYC requirements.,John Mathews,18-10-2025,None,AU,Auto disqualified,29,Prospect_29,User Referral,Silver,Platinum,Standalone,Qualify,27730.28,41801.42,120609.67,CASE103262,,Complete,Medium,HONG KONG,Closed,21-05-2023,29-04-2025,26-10-2020,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,TRUE
Borrowing,FALSE,Global Corporate,FI - Financial Sponsors,Emily Davis,04-02-2023,GB,354999,561740,520305,141577,High strategic importance.,Rohit Sharma,06-08-2022,Co-Borrower / Guarantor,HK,Client decision,29,Prospect_29,User Referral,Gold,Gold,Standalone,Qualify,94206.21,36016.7,78629.66,CASE106153,,Complete,Low,SINGAPORE,Open,26-02-2022,23-06-2024,04-10-2023,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,FALSE,Middle Market,FI - Financial Sponsors,David Chen,02-10-2021,IN,624911,341176,988414,866902,Strong revenue potential.,Kunal Mehta,08-02-2020,None,SG,Client decision,29,Prospect_29,Self,Portfolio,Gold,Standalone,Draft,48784.06,61925.19,50071.72,CASE107256,,Validation,Medium,HONG KONG,Open,26-05-2024,21-03-2020,05-12-2023,Client classified as low risk after initial screening.,New Business,Refresh KYC,TRUE
Non-Borrowing,TRUE,Financial Institution,Origination GC,Rohit Sharma,24-05-2024,AU,638651,608505,767228,836660,Existing group relationship.,Maria Garcia,28-08-2024,Transaction participation counterparty / SPV,AU,Client decision,29,Prospect_29,User Referral,Qualified,Gold,Group,Onboarding In Progress,13888.58,101997.54,167300.12,CASE107749,,Business Acceptance,Medium,SINGAPORE,Closed,25-06-2022,07-11-2024,24-01-2022,Client onboarding completed successfully.,New Business,Refresh KYC,TRUE
Non-Borrowing,TRUE,Middle Market,Financial Sponsors - Portfolio Companies,Lisa Wong,27-02-2022,AU,493927,976199,716342,974931,Strong revenue potential.,Maria Garcia,22-03-2022,Co-Borrower / Guarantor,DE,Client decision,29,Prospect_29,User Referral,Converted,Platinum,Group,Qualify,62019.06,148672.68,60548.09,CASE107817,LE200030,Validation,High,INDIA,Open,08-02-2024,01-09-2023,27-01-2022,Pending additional KYC documentation from client.,New Business,New Business,TRUE
Non-Borrowing,TRUE,Global Corporate,Origination GC,Lisa Wong,26-09-2021,HK,488889,651905,411940,425669,Strong revenue potential.,Maria Garcia,22-04-2025,Liquidity provider,SG,Auto disqualified,30,Prospect_30,Self,Silver,Portfolio,Group,Converted,32788.4,79093.7,121685.82,CASE100233,,Validation,Low,SINGAPORE,Closed,03-06-2024,17-11-2020,22-09-2024,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,FALSE
Non-Borrowing,TRUE,Local Corporate,Global Subsidiaries GC,Emily Davis,21-09-2021,SG,974955,360536,372919,312004,Existing group relationship.,David Chen,01-11-2023,None,IN,Auto disqualified,30,Prospect_30,User Referral,Gold,Platinum,Subsidiary,Qualify,41359.24,39351.11,3092.67,CASE103885,,Business Acceptance,Medium,SINGAPORE,Closed,03-06-2025,21-05-2025,04-09-2023,Enhanced due diligence recommended based on risk factors.,New Business,New Business,FALSE
Borrowing,FALSE,Middle Market,Local Corporates,Rohit Sharma,08-02-2021,DE,613558,670173,114276,111841,Client meets all KYC requirements.,Amit Singh,24-07-2025,Liquidity provider,HK,Client decision,30,Prospect_30,User Referral,Disqualified,Platinum,Group,Draft,4544.28,2027.78,89084.51,CASE104792,,Complete,Low,HONG KONG,Open,30-03-2021,16-03-2025,26-04-2024,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,TRUE
Non-Borrowing,FALSE,Middle Market,Financial Sponsors - Portfolio Companies,John Mathews,11-06-2025,HK,397893,876391,425665,949221,Client meets all KYC requirements.,Maria Garcia,07-10-2020,Transaction participation counterparty / SPV,HK,Auto disqualified,30,Prospect_30,Self,Gold,Gold,Group,Qualify,43514.98,115486.48,144813.54,CASE106737,,Validation,Medium,SINGAPORE,Open,04-08-2023,28-04-2020,20-07-2024,Pending additional KYC documentation from client.,New Business,New Business,TRUE
Non-Borrowing,FALSE,Financial Institution,Origination GC,Emily Davis,19-12-2022,AU,852159,516704,167867,995146,Client meets all KYC requirements.,Maria Garcia,21-06-2021,Transaction participation counterparty / SPV,GB,Auto disqualified,31,Prospect_31,User Referral,Qualified,Gold,Subsidiary,Qualify,32619.86,104287.77,72291.93,CASE100999,,Complete,High,INDIA,Open,09-01-2021,22-02-2023,17-06-2023,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,FALSE
Borrowing,TRUE,Global Corporate,Hedge Funds,Lisa Wong,05-12-2024,US,947670,814387,125210,775191,Existing group relationship.,Lisa Wong,09-03-2020,None,IN,Client decision,31,Prospect_31,Self,Gold,Portfolio,Subsidiary,Onboarding In Progress,79090.26,140828.35,88469.87,CASE101720,,Business Acceptance,High,INDIA,Open,08-04-2022,21-10-2024,05-03-2025,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,TRUE
Borrowing,FALSE,Local Corporate,Financial Sponsors - Portfolio Companies,John Mathews,22-10-2020,DE,541072,109132,137172,480913,Existing group relationship.,Lisa Wong,09-05-2022,None,IN,Client decision,31,Prospect_31,Self,Disqualified,Gold,Group,Converted,98858.39,87646.81,146745.26,CASE103950,,Business Acceptance,Medium,SINGAPORE,Open,30-08-2020,18-05-2022,18-11-2023,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,TRUE,Global Corporate,Origination GC,Lisa Wong,28-05-2022,AU,984006,122710,305164,495453,Existing group relationship.,Lisa Wong,12-11-2021,Transaction participation counterparty / SPV,IN,Auto disqualified,32,Prospect_32,User Referral,Lead,Platinum,Subsidiary,Converted,61985.71,59002.91,27856.71,CASE104278,,Validation,High,SINGAPORE,Open,04-03-2022,03-03-2022,28-07-2021,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,TRUE
Non-Borrowing,TRUE,Local Corporate,Hedge Funds,Priya Nair,23-04-2023,GB,102523,950615,887247,714383,Client meets all KYC requirements.,Priya Nair,09-07-2024,None,US,Client decision,33,Prospect_33,User Referral,Converted,Gold,Group,Onboarding In Progress,28259.72,75317.85,143152.62,CASE101964,LE200034,Validation,High,SINGAPORE,Open,19-02-2023,02-05-2025,20-11-2023,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,FALSE
Non-Borrowing,FALSE,Global Corporate,Local Corporates,David Chen,05-08-2020,AU,902165,117133,958138,818523,High strategic importance.,David Chen,26-01-2025,Liquidity provider,AU,Client decision,33,Prospect_33,Self,Disqualified,Platinum,Standalone,Draft,19365.47,10266.28,42232.19,CASE103830,,Complete,High,SINGAPORE,Open,04-02-2020,24-06-2021,03-04-2024,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,FALSE
Borrowing,TRUE,Global Corporate,Global Subsidiaries GC,Amit Singh,17-06-2021,SG,420609,927284,224761,725990,High strategic importance.,Rohit Sharma,14-03-2025,Transaction participation counterparty / SPV,AU,Auto disqualified,33,Prospect_33,User Referral,Gold,Platinum,Subsidiary,Converted,36586.88,33612.54,100918.54,CASE104218,,Validation,Low,SINGAPORE,Closed,13-02-2023,08-09-2020,16-05-2022,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,TRUE
Borrowing,TRUE,Financial Institution,Hedge Funds,Emily Davis,14-05-2021,IN,428030,198872,183334,443434,Strong revenue potential.,Lisa Wong,21-09-2020,None,DE,Auto disqualified,33,Prospect_33,User Referral,Portfolio,Gold,Group,Qualify,99964,66332.5,148841.36,CASE104678,,Business Acceptance,High,SINGAPORE,Open,06-08-2023,19-11-2025,19-06-2023,Onboarding delayed due to missing tax documents.,New Business,New Business,TRUE
Non-Borrowing,FALSE,Middle Market,Fintech - Other,John Mathews,03-11-2021,HK,602415,940621,153430,432999,High strategic importance.,Rohit Sharma,27-04-2021,Transaction participation counterparty / SPV,DE,Auto disqualified,33,Prospect_33,Self,Converted,Platinum,Standalone,Draft,42420.02,149734.37,91287.39,CASE106592,LE200034,Business Acceptance,High,HONG KONG,Closed,19-02-2025,10-11-2024,06-12-2024,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,TRUE
